Region,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Turkey,9801625.0,10152630.0,10635830.0,10758440.0,10655710.0,11494280.0,11808370.0,12217810.0,12081280.0,12632770.0,13523980.0,13760450.0,12705590.0,13881680.0,14766180.0,15901460.0,15923220.0,16564970.0,16787320.0,17088480.0,17333920.0,18036820.0,17733220.0,18896100.0,19080800.0,20394300.0,20321230.0,21640280.0,20396030.0,21952070.0,22097630.0,22109080.0,22368290.0,22162350.0,22582410.0,23843910.0,23608700.0,25683830.0,24585810.0,25741420.0,23852280.0,25274470.0,25622430.0,25972540.0,27326810.0,27359860.0,24751940.0
Poland,15955180.0,14575640.0,15858570.0,16558460.0,16230700.0,17338030.0,17925710.0,18545860.0,17634180.0,18507780.0,17281840.0,19066240.0,20340030.0,20435780.0,20163170.0,20975430.0,19442480.0,20934310.0,20898090.0,16945150.0,18853160.0,17821360.0,18547870.0,19731940.0,19705030.0,20834620.0,19963190.0,20066730.0,20507280.0,20883830.0,19190470.0,16670990.0,18839200.0,15737630.0,17025520.0,17571410.0,16622470.0,18018430.0,16790270.0,16667860.0,16822420.0,16241680.0,15780020.0,16989850.0,15971280.0,15254750.0,16159710.0
Spain,9798405.0,9825465.0,11420400.0,10645910.0,10643360.0,11695850.0,11024420.0,11850590.0,11820260.0,12532300.0,12858080.0,13751280.0,15174810.0,15269930.0,15379370.0,15140960.0,14705000.0,16496250.0,17422100.0,18126060.0,16494820.0,18256430.0,16981300.0,19358420.0,18762390.0,18579180.0,20581040.0,19126450.0,19930450.0,20923900.0,20085200.0,20463720.0,19624700.0,18805430.0,17564380.0,21996630.0,23343080.0,22973190.0,23004340.0,24674960.0,24536960.0,24967390.0,27096840.0,25909800.0,23251970.0,24936910.0,24697020.0
Pakistan,6247493.0,6589936.0,6897616.0,6982853.0,7333663.0,7425982.0,7964442.0,8546855.0,8791246.0,9049374.0,9328894.0,9532935.0,9703577.0,9921306.0,9994854.0,10232750.0,10883040.0,10876840.0,11744840.0,11933720.0,12517320.0,12997180.0,12760440.0,13961040.0,14740180.0,15989600.0,16586550.0,16883510.0,18089200.0,18821740.0,20434580.0,19935260.0,20932460.0,21625600.0,23629220.0,24078870.0,24494520.0,25426410.0,26559360.0,27203740.0,26504530.0,26896160.0,27873020.0,29998840.0,30915480.0,31452270.0,32780700.0
Mexico,6632554.0,7098856.0,7394225.0,8044878.0,8604104.0,9141114.0,9259961.0,9645997.0,9460885.0,9773528.0,10158240.0,10694120.0,11049430.0,11417320.0,11555780.0,11692620.0,12952340.0,13942730.0,13496350.0,14636060.0,15551310.0,15203850.0,15893430.0,15988200.0,16687200.0,17114680.0,17348270.0,16898020.0,16143390.0,17548020.0,17825260.0,17976760.0,18676690.0,19180150.0,20329250.0,20408980.0,20832860.0,21856590.0,22569680.0,22894310.0,24163380.0,23971430.0,24871430.0,25664420.0,25389600.0,26920430.0,27352720.0
Japan,11464360.0,12075860.0,12370320.0,12829560.0,13079980.0,13317230.0,14200990.0,14900470.0,14823950.0,14872590.0,14546180.0,15376980.0,15339770.0,15410760.0,15812720.0,15504470.0,16672540.0,16806560.0,17183120.0,16484530.0,16564920.0,17099270.0,17157780.0,17587860.0,17921040.0,18102140.0,18053410.0,17653000.0,17770570.0,17642930.0,17081080.0,17605220.0,16465050.0,17352270.0,16891700.0,16555490.0,16602400.0,15891260.0,16057900.0,15966290.0,15675830.0,15805000.0,15195870.0,15420280.0,15560370.0,15251330.0,15675560.0
Canada,8246525.0,9913775.0,10751080.0,10247080.0,11143530.0,12132990.0,10771270.0,11530410.0,11757430.0,11107490.0,12360550.0,11733140.0,11940390.0,11227190.0,12464040.0,13458130.0,13667930.0,14112960.0,13185010.0,13815080.0,14965520.0,15750480.0,15088370.0,14846700.0,15808800.0,16965070.0,16344980.0,14311970.0,15922290.0,17562310.0,17387550.0,17089270.0,17736310.0,18161790.0,18755400.0,19814550.0,19502670.0,20637670.0,21831780.0,21214910.0,19489430.0,18716170.0,20627140.0,22064310.0,23100910.0,22705380.0,22406180.0
United Kingdom,10620960.0,11154420.0,11093710.0,11375160.0,11698620.0,11478120.0,11905270.0,11835080.0,11848520.0,12465360.0,12714190.0,12870590.0,13073420.0,13484950.0,12693870.0,12593170.0,13668760.0,14160540.0,14363810.0,14839880.0,14540170.0,15438910.0,15330200.0,16395900.0,15722360.0,15899240.0,15699420.0,15408840.0,15627110.0,15944020.0,16087240.0,16319750.0,15815020.0,15890610.0,15974550.0,16044850.0,16010650.0,15955710.0,16012850.0,15596250.0,14418350.0,15385080.0,15023960.0,15074500.0,15110240.0,14872860.0,14484210.0
Russian Federation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52451890.0,49848680.0,43576320.0,40899970.0,39573030.0,40496260.0,33660100.0,34239960.0,36491620.0,39270080.0,40343930.0,39138310.0,40868700.0,41337530.0,42254980.0,43327360.0
Australia,8033542.0,9014986.0,9354546.0,9962123.0,9565166.0,10471870.0,9599631.0,11035060.0,10591420.0,11024270.0,11413960.0,11523210.0,12156700.0,11204490.0,12164080.0,12719660.0,12394160.0,14290070.0,13823970.0,12249840.0,13165920.0,12041240.0,14391670.0,13826500.0,13901700.0,14277520.0,14032100.0,14721290.0,14687200.0,15503990.0,15288220.0,16385300.0,16774110.0,15410470.0,17266830.0,18964080.0,14857710.0,15878820.0,16927100.0,16745620.0,17566780.0,13817750.0,16383540.0,15292520.0,16897590.0,13395980.0,12908520.0
Nigeria,6075942.0,6347033.0,6669741.0,6863586.0,7203534.0,6967724.0,7294506.0,7479340.0,8342537.0,9089145.0,8183097.0,7134640.0,7446746.0,8405778.0,7916338.0,7404716.0,7302373.0,7131084.0,7263866.0,7624896.0,7620355.0,7816920.0,7932862.0,8305553.0,8921032.0,9448897.0,9640249.0,11125380.0,12165510.0,13119980.0,14802250.0,15986230.0,16894600.0,17476800.0,18044410.0,18868420.0,19566450.0,20500290.0,21439170.0,21534080.0,21382220.0,22453390.0,23606080.0,24938550.0,26393220.0,28362860.0,25531080.0
Thailand,4480766.0,4802374.0,5134577.0,5028888.0,5178564.0,6081772.0,5468722.0,5868326.0,6270016.0,6528854.0,6523264.0,6331628.0,7479050.0,7314532.0,7998627.0,8516802.0,8550894.0,9953411.0,9343198.0,10157730.0,10417850.0,10377280.0,10969280.0,11284410.0,11855040.0,11120430.0,11271590.0,12596560.0,13128860.0,12210950.0,13464080.0,14159330.0,13806670.0,14397620.0,14682320.0,15073560.0,15301950.0,14928210.0,15302710.0,16175300.0,16637300.0,16794290.0,17657050.0,17643010.0,17599330.0,18135550.0,19123240.0
"Iran, Islamic Republic of",2997640.0,3098577.0,3067630.0,3158230.0,3509560.0,3665660.0,3693562.0,4053531.0,4149006.0,4243958.0,4216322.0,4711524.0,4876422.0,5169662.0,5278480.0,5740644.0,5728356.0,6016990.0,5807174.0,6048614.0,6937222.0,7610617.0,7631974.0,7924052.0,8448577.0,9259479.0,9301253.0,9021072.0,9013782.0,10769660.0,11113080.0,12244880.0,12831720.0,13214580.0,13604390.0,14335940.0,14724610.0,15252060.0,15516930.0,14837870.0,15821120.0,17274520.0,17978870.0,18122200.0,19334790.0,19697210.0,19077600.0
Netherlands,4700973.0,4877780.0,4875756.0,4977735.0,4823550.0,5023580.0,5538994.0,5725620.0,5799828.0,6313078.0,6505774.0,6461438.0,6744786.0,7208286.0,7173166.0,7332349.0,7569009.0,8061256.0,8330604.0,8543169.0,8887647.0,9219036.0,9161952.0,9613860.0,9662941.0,9946396.0,9804328.0,9718310.0,9603018.0,10021400.0,10036280.0,10807190.0,10484520.0,10254610.0,10341600.0,10580190.0,9759252.0,9803666.0,10457240.0,10323170.0,9780263.0,9733428.0,9268187.0,9778416.0,9562739.0,9341945.0,9604602.0
Bangladesh,5295969.0,5038676.0,5590852.0,5580048.0,5723440.0,5521954.0,6201514.0,6245589.0,6633538.0,6328336.0,5750025.0,5800522.0,6311260.0,5987804.0,6601500.0,6396518.0,6870558.0,7152150.0,7068288.0,7115878.0,7059524.0,7330482.0,7528034.0,7539692.0,7964840.0,8079153.0,7954646.0,7964638.0,8667214.0,8757583.0,8972578.0,9083779.0,9055439.0,8771408.0,9046736.0,9564537.0,9747980.0,10005110.0,11416140.0,12182620.0,11960260.0,12255760.0,12557040.0,12333640.0,13819160.0,13992360.0,14895640.0
Egypt,3361283.0,4024906.0,4121380.0,4193772.0,4253464.0,4285786.0,4191894.0,4611310.0,4916036.0,4906983.0,5021378.0,5109800.0,5173620.0,5198222.0,5275396.0,5464245.0,5372466.0,5555228.0,5875257.0,6026426.0,6026345.0,6268677.0,6363620.0,6398155.0,6796992.0,7207380.0,7506849.0,7344762.0,7476444.0,8858502.0,9121322.0,9733493.0,10139500.0,9937013.0,10795980.0,11921920.0,12405740.0,12385730.0,13157720.0,13779110.0,13552520.0,14134780.0,14823980.0,15297460.0,15595990.0,16187110.0,15572180.0
Viet Nam,3471556.0,3677532.0,3677420.0,3730614.0,3704797.0,3503607.0,3680028.0,3500005.0,3597451.0,3916292.0,4004515.0,4088902.0,4186385.0,4177436.0,3957618.0,4511848.0,4395064.0,4419956.0,4885884.0,5155984.0,5466580.0,6010140.0,6198992.0,6562768.0,6671950.0,6933599.0,6966240.0,7353360.0,7904314.0,8087147.0,8276188.0,8941537.0,9414285.0,9866571.0,10465230.0,11067680.0,11918430.0,12364230.0,13637780.0,14542320.0,15050940.0,16252900.0,16500120.0,17375800.0,17749050.0,18229570.0,18508340.0
Romania,5358930.0,5022678.0,5096700.0,5195636.0,5554329.0,6475309.0,6432919.0,6476186.0,6382016.0,5748592.0,6945520.0,7678710.0,7516590.0,7638836.0,7760704.0,9439710.0,9344454.0,9364763.0,9855217.0,9209490.0,9247199.0,10242260.0,9819655.0,10974080.0,10098890.0,9990820.0,9023668.0,9416116.0,8938531.0,8300410.0,8257331.0,7210316.0,8281534.0,8173410.0,8547422.0,8001661.0,8673126.0,7579040.0,8064977.0,6854658.0,8115171.0,7576160.0,8154127.0,9660056.0,8416459.0,8500574.0,6701473.0
Philippines,3351690.0,3604865.0,3745430.0,3802333.0,3842449.0,4005296.0,4050666.0,4123367.0,4347582.0,4527820.0,4702052.0,4660050.0,4910534.0,5352782.0,5818037.0,6251900.0,6398202.0,6599932.0,6802340.0,7031654.0,7266716.0,7460824.0,6939594.0,7032201.0,7122356.0,7654670.0,7519396.0,7518364.0,7913037.0,8587050.0,8491276.0,8712965.0,9094463.0,9280419.0,9453606.0,10192110.0,10411810.0,9642827.0,10414250.0,10806470.0,11245110.0,11640570.0,11942850.0,12662610.0,12865890.0,13317570.0,13820270.0
South Africa,3986965.0,4022348.0,4247542.0,4072050.0,4282544.0,4441374.0,5323129.0,4736680.0,4991970.0,4901770.0,5422428.0,5804708.0,5001835.0,6035906.0,5841130.0,5778866.0,6129624.0,6436080.0,6362414.0,6641875.0,7220540.0,6625072.0,5866214.0,6292600.0,6666356.0,6592410.0,6925609.0,7071710.0,7418462.0,7323116.0,7438382.0,6390306.0,7253786.0,7641252.0,6652483.0,7745650.0,7846064.0,7447887.0,7896166.0,8629690.0,8120437.0,8639721.0,8523970.0,8731273.0,9185002.0,8901272.0,8859281.0
Colombia,3135949.0,3391935.0,3364217.0,3491027.0,3568478.0,3580883.0,3650466.0,3829118.0,3908361.0,4096799.0,4254756.0,4310593.0,4363804.0,4605388.0,4998266.0,5280590.0,5425362.0,5652678.0,5848978.0,5891034.0,6129132.0,5902510.0,5799613.0,6022694.0,5957875.0,6233116.0,6363352.0,6747624.0,7105726.0,7611115.0,7843374.0,7718759.0,7703007.0,7835517.0,8372609.0,8290296.0,8356889.0,8327618.0,8609478.0,9043161.0,9245904.0,9439081.0,9542777.0,10094840.0,10343730.0,9124026.0,9015513.0
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23588610.0,23882370.0,20169160.0,19751340.0,17675740.0,17824370.0,15668210.0,14778340.0,16019640.0,17432080.0,17880850.0,15923060.0,19036930.0,19062250.0,19040680.0,17751300.0
Hungary,3887535.0,3993613.0,4320800.0,4375565.0,4151457.0,4559906.0,4735496.0,4835372.0,5270970.0,4721897.0,5234039.0,5474735.0,5738726.0,5960464.0,6032345.0,5897632.0,6637232.0,6667842.0,6561773.0,7032382.0,6790350.0,7536462.0,7246687.0,7487486.0,7152572.0,7289255.0,7249414.0,7525075.0,7344995.0,6976140.0,7070728.0,5416706.0,4868319.0,5174296.0,5099446.0,5431439.0,5563966.0,5587154.0,5269462.0,5072476.0,5890144.0,5250396.0,4795492.0,6204852.0,5536952.0,5333134.0,5172544.0
"Korea, Republic of",2168330.0,2062573.0,2259366.0,2696948.0,2739309.0,2964199.0,2780728.0,2860955.0,3254249.0,3245010.0,3350687.0,3470012.0,3548387.0,3733176.0,4280010.0,4757356.0,5118125.0,5528060.0,5769188.0,4912492.0,5294112.0,5511584.0,5631274.0,5814604.0,5993786.0,6301976.0,6351544.0,6698502.0,6854736.0,6777641.0,6737252.0,7337598.0,7408788.0,7388854.0,7781191.0,8096922.0,8229456.0,8129010.0,8516403.0,8643941.0,8618274.0,8277861.0,8032148.0,8189003.0,8263098.0,8252889.0,8330830.0
New Zealand,3518831.0,3680832.0,3735158.0,3860104.0,3934959.0,4036296.0,4175514.0,4397643.0,4563946.0,4456584.0,4499864.0,4644500.0,4624478.0,4252992.0,4576035.0,5059478.0,4902658.0,4811847.0,4824800.0,5031202.0,5220674.0,5276006.0,5442990.0,5509778.0,5885699.0,5723823.0,5667486.0,5816184.0,5621289.0,5423508.0,5711786.0,5817321.0,5924559.0,6284291.0,6374297.0,6520025.0,6868766.0,6913563.0,6569196.0,7044062.0,7322110.0,7419142.0,7779510.0,8116276.0,7948335.0,8144942.0,8318573.0
Greece,3427934.0,3084512.0,3401255.0,3428417.0,3654674.0,3815508.0,3901372.0,3824621.0,3979216.0,4313226.0,4276594.0,4464379.0,4600536.0,5017100.0,5366583.0,5140995.0,5048396.0,5433208.0,5243228.0,5830744.0,6009796.0,6039859.0,5835240.0,6094151.0,6289716.0,6044277.0,5910179.0,6271276.0,6603357.0,5750312.0,6627400.0,6638234.0,6590333.0,6942314.0,6973170.0,6904355.0,6622714.0,6579212.0,7054085.0,7124035.0,7097284.0,6889500.0,6287810.0,6768302.0,6862724.0,6127800.0,5986194.0
Myanmar,2412070.0,2728966.0,2863719.0,2949201.0,2895951.0,2526197.0,2795284.0,2979730.0,2961719.0,3070049.0,3160826.0,3011510.0,3260031.0,3276116.0,3408569.0,3466406.0,3594089.0,3903900.0,3964726.0,4563325.0,4945471.0,5187922.0,5331090.0,5482597.0,5648686.0,5646467.0,5468355.0,5285389.0,5043901.0,5123794.0,5036927.0,5524913.0,6122918.0,6446486.0,6673369.0,6937808.0,6862558.0,7095084.0,7879814.0,8478175.0,9199880.0,9517743.0,10256910.0,11014100.0,11507430.0,12560150.0,13317780.0
Yugoslav SFR,5008954.0,5175146.0,5524450.0,5677906.0,5292175.0,6227019.0,6218076.0,6211004.0,6775918.0,6094208.0,6616988.0,6542904.0,6976263.0,7365221.0,7254062.0,7664764.0,8015190.0,7661412.0,8097558.0,8139596.0,8289980.0,8968260.0,8801851.0,8899854.0,8184036.0,8960355.0,8538230.0,8152902.0,8667446.0,7901512.0,9022388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,3800428.0,3833062.0,3823419.0,3910496.0,3876938.0,3828573.0,3816352.0,3850172.0,3699495.0,3604020.0,3640216.0,3621876.0,3679429.0,3888188.0,3773234.0,3739907.0,4034563.0,4113764.0,4254122.0,4226446.0,4288924.0,4497426.0,4389253.0,4854304.0,4760084.0,4857936.0,4607852.0,4705594.0,4867781.0,5122251.0,5073089.0,4863790.0,5229088.0,5031342.0,5213862.0,5220778.0,5325540.0,5424762.0,5350624.0,5364782.0,5367763.0,5349083.0,5424720.0,5525348.0,5513338.0,5423242.0,5439924.0
Malaysia,1182611.0,1204312.0,1265997.0,1279135.0,1391516.0,1426822.0,1479949.0,1671813.0,1864450.0,1953032.0,2052010.0,2122386.0,2282660.0,2433558.0,2550402.0,2728086.0,2741866.0,2751150.0,3054311.0,3144998.0,3235412.0,3479726.0,3376011.0,3579924.0,3836371.0,4070557.0,4177670.0,4520833.0,4917982.0,5056229.0,5184259.0,5367670.0,5811908.0,5816958.0,6015994.0,6209547.0,6368308.0,6038796.0,6615322.0,6808394.0,7154724.0,7306392.0,7883666.0,8252596.0,8665074.0,9107870.0,9062208.0
Czechoslovakia,4601178.0,4374112.0,4793068.0,5055211.0,4415052.0,5131519.0,5344062.0,5766256.0,5536154.0,5508239.0,5610238.0,5872520.0,6207636.0,6314056.0,6154262.0,6001424.0,6397432.0,6554078.0,6258526.0,6527298.0,6421400.0,6730853.0,7009299.0,7399200.0,7243060.0,7212095.0,7217616.0,7504089.0,7643270.0,7489296.0,6957460.0,6419063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,2842766.0,3141124.0,3216790.0,3447606.0,3602988.0,4085568.0,3985902.0,3961081.0,4031563.0,3991824.0,4058626.0,4302511.0,4307742.0,4113880.0,4260121.0,4616898.0,4258170.0,4499528.0,4713624.0,4498807.0,4851591.0,5203022.0,4679188.0,5127831.0,4316796.0,4887825.0,4657097.0,4699186.0,4902724.0,4538842.0,4182673.0,3800744.0,3004276.0,3087547.0,3328384.0,2726414.0,3044198.0,2949328.0,2955136.0,2755716.0,2872349.0,2734345.0,2335778.0,2878446.0,2344120.0,2449538.0,1903401.0
Sudan,1778896.0,1909400.0,1946882.0,1807539.0,1867282.0,1882062.0,2173490.0,2000280.0,2255727.0,2384813.0,2475644.0,2534006.0,2478527.0,2853488.0,2830014.0,2733680.0,3009670.0,3073780.0,2924194.0,3063671.0,3414139.0,3025268.0,3193590.0,2844424.0,3347161.0,3252408.0,3033560.0,3453928.0,2962632.0,2892502.0,3443923.0,3869699.0,3567997.0,4225694.0,4374290.0,4816070.0,4795743.0,4937629.0,4978894.0,5155627.0,5742357.0,5725712.0,6216678.0,5973474.0,6205316.0,6674158.0,6572214.0
Austria,2837223.0,2808626.0,2996174.0,3093448.0,2682426.0,2957412.0,3141488.0,3278725.0,3201881.0,3172524.0,3115160.0,3031789.0,3146270.0,3202611.0,3234976.0,3288884.0,3203244.0,3339576.0,3350429.0,3517588.0,3394647.0,3780050.0,3544717.0,3669092.0,3538321.0,3556990.0,3517684.0,3661247.0,3501451.0,3544209.0,3543852.0,3481263.0,3459376.0,3597422.0,3486595.0,3467814.0,3570986.0,3709911.0,3794298.0,3593537.0,3648850.0,3624272.0,3570196.0,3765559.0,3640685.0,3561270.0,3640646.0
Belgium-Luxembourg,3100848.0,3183065.0,3156997.0,3166560.0,3037895.0,3081970.0,3481232.0,3466616.0,3547489.0,3664880.0,3844624.0,3726790.0,3850682.0,4090867.0,3789547.0,3646083.0,3793641.0,3910421.0,3903728.0,3899518.0,3993212.0,4073273.0,3916120.0,4178899.0,4198388.0,4318856.0,4254868.0,4354833.0,4395918.0,4329764.0,4640028.0,4914115.0,5041229.0,4982207.0,5095211.0,5222747.0,5134453.0,5188698.0,5274019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,1792407.0,1791975.0,1992587.0,2055622.0,1792374.0,1873830.0,2173647.0,2325345.0,2621974.0,3296234.0,3209114.0,3264832.0,3316712.0,3497280.0,3684034.0,3408038.0,3428035.0,3465190.0,2515431.0,2438005.0,2608996.0,2860508.0,2987866.0,2821816.0,2895880.0,2890945.0,3038070.0,3186793.0,3386467.0,3527685.0,3624850.0,3575653.0,3800984.0,3826570.0,3989584.0,3921844.0,3962201.0,4232200.0,4424356.0,4510955.0,4749970.0,4977932.0,4923764.0,4920374.0,4832856.0,4732500.0,4808482.0
Chile,1740947.0,1811248.0,1835588.0,1829372.0,1786379.0,1997146.0,2013424.0,2139335.0,1978556.0,2097630.0,2113187.0,1994679.0,1814334.0,2114644.0,2190518.0,2163556.0,2344422.0,2278097.0,2464598.0,2511882.0,2687692.0,2663050.0,2515796.0,2647198.0,2651193.0,2779626.0,2908169.0,3093660.0,3331059.0,3525254.0,3624348.0,3804123.0,4009068.0,4273877.0,4507011.0,4626324.0,4639158.0,4755052.0,4690276.0,4860171.0,5211530.0,5236356.0,5342625.0,5554601.0,5873200.0,5891752.0,5718236.0
Morocco,1345720.0,1584064.0,1703285.0,1765678.0,1909848.0,1687080.0,1758569.0,2418194.0,1965343.0,2032889.0,2325311.0,2231048.0,2072593.0,2354294.0,2137745.0,2379528.0,1991892.0,2405940.0,2498333.0,2479370.0,2227736.0,2750243.0,2504786.0,2595024.0,2866510.0,3464081.0,3232260.0,3884270.0,4230270.0,3962119.0,4514447.0,3490147.0,3502994.0,4468591.0,3126607.0,4871804.0,4159967.0,4713258.0,4351830.0,4011567.0,4369830.0,4724158.0,5461481.0,5585248.0,5196862.0,6068929.0,5005480.0
